Comments,HateSpeech
যদি দেখো আকাশ ভরা তারা বুঝে নিও খেতে যাচ্ছ তুমি পুটকি মারা সারা।এনজয় করো বেশি বেশি। মডেলদের কে নিয়ে ভবিষ্যৎ উজ্জ্বল,hate
ওর পুরা গুষ্টি শ্বশুরের গুষ্টি বাপের গুষ্টি সবার সকল সম্পত্তি বাজেয়াপ্ত করা হোক স্থাবর অস্থাবর সব।,nonhate
এতদিন এসব অপকর্ম নিউজ কোথায় ছিল? দালাল সাংবাদিক।,hate
নারী মানে ষড়যন্ত্র।,hate
চোরের মুখে বাংলার ব্যথা ,hate
"যেই দেশে পানির দাম আর দুধের দাম সমান, আমরা সেই দেশের নাগরিক",nonhate
মানুষের হুগা মারার বাজেট এবারের বাজেট,hate
ধর্ষকের শাস্তি হওয়া উচিত,hate
লোভে পাপ পাপে প্রেগনেন্ট,nonhate
অনশন প্রথা যে বের করছে তাকে নোবেল দেওয়া হোক,nonhate
দেশে এখন গাঞ্জার অভাব মনে হয় তাই এই অবস্তা,hate
হোটেলে আসছো গেছো মজা তুমিও পাইছো ও পাইছে এখন বাড়িতে কি ,nonhate
রাফসান কে খোদা খুঁজে ধরছে ,nonhate
"হেডার গান গায়, কোন ফিল আসে না, উল্টা ভয় লাগে, কে জানি কখন কি ধইরা কাইটটালায়",hate
হাই কোর্টও নারী দেখে সব ভুলে গেছে মনে হয়।,nonhate
"টিকটকার যেখানে, সময় টিভি সেখানে",nonhate
ওকে তো রাস্তার ফকিন্নির মতো লাগছে।,hate
এইদেশে নিরাপরাদ মানুষেরি বিচার হয় বেশি খুনিরাতো উল্লাস করে আর নিরাপদে বিচরন করে,hate
"৬ ভেবে যে চিল্লানিটা দিছিলাম, পরে ক্যাচ ধরার সাথে সাথে বিছানায় পড়ে গেছি",nonhate
তুমি কোন শহরের মাইয়া গো লাগে উড়াধূরা ,nonhate
তোমার কোন কোন জায়গা ব্যাথা গো বান্ধবী ললিতাগান টা কে কপি করছে ,nonhate
গেছে দুই বছর থেকে ইন্ডিরা সিলিন্ডার করে বাইক চালাচ্ছে। ,nonhate
